seat_id,seat_name,seat_district,leader_name,leader_party_full,leader_party_short,declared_winner_yes_no,total_votes,leader_votes,leader_vote_share_pc,loser_name,loser_party_full,loser_party_short,loser_votes,loser_vote_share_pc,lead_margin_votes,lead_margin_vote_share_pc,url_for_checking
28,Hari Nagar,West,Shyam Sharma,Bharatiya Janata Party,BJP,no,93582.0,46627.0,49.8,Surinder Kumar Setia,Aam Aadmi Party,AAP,38913.0,41.6,7714.0,8.2,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0528.htm
29,Tilak Nagar,West,Jarnail Singh,Aam Aadmi Party,AAP,no,96503.0,52134.0,54.0,Shveta Saini,Bharatiya Janata Party,BJP,40478.0,41.9,11656.0,12.1,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0529.htm
30,Janakpuri,West,Ashish Sood,Bharatiya Janata Party,BJP,no,80970.0,47782.0,59.0,Parveen Kumar,Aam Aadmi Party,AAP,29490.0,36.4,18292.0,22.6,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0530.htm
31,Vikaspuri,South-West,Pankaj Kumar Singh,Bharatiya Janata Party,BJP,no,74522.0,37609.0,50.5,Mahinder Yadav,Aam Aadmi Party,AAP,32503.0,43.6,5106.0,6.9,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0531.htm
32,Uttam Nagar,South-West,Pawan Sharma,Bharatiya Janata Party,BJP,no,92713.0,49739.0,53.6,Posh Balyan,Aam Aadmi Party,AAP,34826.0,37.6,14913.0,16.0,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0532.htm
33,Dwarka,South-West,Parduymn Singh Rajput,Bharatiya Janata Party,BJP,no,125515.0,62587.0,49.9,Vinay Mishra,Aam Aadmi Party,AAP,54625.0,43.5,7962.0,6.4,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0533.htm
34,Matiala,South-West,Sandeep Sehrawat,Bharatiya Janata Party,BJP,no,139344.0,74042.0,53.1,Sumesh Shokeen,Aam Aadmi Party,AAP,57631.0,41.4,16411.0,11.7,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0534.htm
35,Najafgarh,South-West,Neelam Pahalwan,Bharatiya Janata Party,BJP,no,171677.0,96396.0,56.1,Tarun Kumar,Aam Aadmi Party,AAP,69677.0,40.6,26719.0,15.5,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0535.htm
36,Bijwasan,South-West,Kailash Gahlot,Bharatiya Janata Party,BJP,no,101885.0,51076.0,50.1,Surender Bhardwaj,Aam Aadmi Party,AAP,42048.0,41.3,9028.0,8.8,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0536.htm
37,Palam,South-West,Kuldeep Solanki,Bharatiya Janata Party,BJP,no,110385.0,55444.0,50.2,Joginder Solanki,Aam Aadmi Party,AAP,49350.0,44.7,6094.0,5.5,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0537.htm
38,Delhi Cantt,New Delhi,Virender Singh Kadian,Aam Aadmi Party,AAP,yes,47458.0,22191.0,46.8,Bhuvan Tanwar,Bharatiya Janata Party,BJP,20162.0,42.5,2029.0,4.3,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0538.htm
39,Rajinder Nagar,New Delhi,Umang Bajaj,Bharatiya Janata Party,BJP,no,97211.0,46671.0,48.0,Durgesh Pathak,Aam Aadmi Party,AAP,45440.0,46.7,1231.0,1.3,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0539.htm
40,New Delhi,New Delhi,Parvesh Sahib Singh,Bharatiya Janata Party,BJP,no,61467.0,30024.0,48.8,Arvind Kejriwal,Aam Aadmi Party,AAP,25925.0,42.2,4099.0,6.6,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0540.htm
41,Jangpura,South-East,Tarvinder Singh Marwah,Bharatiya Janata Party,BJP,no,85511.0,38859.0,45.4,Manish Sisodia,Aam Aadmi Party,AAP,38184.0,44.7,675.0,0.7,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0541.htm
42,Kasturba Nagar,South-East,Neeraj Basoya,Bharatiya Janata Party,BJP,no,84483.0,38067.0,45.1,Abhishek Dutt,Indian National Congress,CONG,27019.0,32.0,11048.0,13.1,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0542.htm
43,Malviya Nagar,South,Satish Upadhyay,Bharatiya Janata Party,BJP,no,81825.0,38043.0,46.5,Somnath Bharti,Aam Aadmi Party,AAP,36072.0,44.1,1971.0,2.4,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0543.htm
44,R K Puram,New Delhi,Anil Kumar Sharma,Bharatiya Janata Party,BJP,no,76503.0,43260.0,56.5,Pramila Tokas,Aam Aadmi Party,AAP,28807.0,37.7,14453.0,18.8,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0544.htm
45,Mehrauli,South,Gajender Singh Yadav,Bharatiya Janata Party,BJP,no,64572.0,28354.0,43.9,Mahender Chaudhary,Aam Aadmi Party,AAP,26071.0,40.4,2283.0,3.5,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0545.htm
46,Chhatarpur,South,Kartar Singh Tanwar,Bharatiya Janata Party,BJP,no,153950.0,75339.0,48.9,Brahm Singh Tanwar,Aam Aadmi Party,AAP,71064.0,46.2,4275.0,2.7,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0546.htm
47,Deoli,South,Prem Chauhan,Aam Aadmi Party,AAP,no,134186.0,74086.0,55.2,Deepak Tanwar,Lok Janshakti Party(Ram Vilas),LJP(RV),41967.0,31.3,32119.0,23.9,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0547.htm
48,Ambedkar Nagar,South,Dr. Ajay Dutt,Aam Aadmi Party,AAP,no,94436.0,45518.0,48.2,Khushi Ram Chunar,Bharatiya Janata Party,BJP,40285.0,42.7,5233.0,5.5,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0548.htm
49,Sangam Vihar,South-East,Chandan Kumar Choudhary,Bharatiya Janata Party,BJP,yes,125714.0,54049.0,43.0,Dinesh Mohaniya,Aam Aadmi Party,AAP,53705.0,42.7,344.0,0.3,https://results.eci.gov.in/ResultAcGenFeb2025/candidateswise-U0549.htm
