playlist_id,playlist_name,source,track_name,track_id,artist_name,artist_id,album_name,album_id,date_released,date_added_to_playlist,date_added_to_master_list
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Easy - Radio Edit,03p1o66Hn130t8TzeLLi34,"Mat Zo, Porter Robinson","2n7USVO8fO8FF8zq4kG2N1, 3dz0NnIZhtKKeXZxLOxCam",Easy,1cB7imBtDzZFMRTSFPrl7f,2013-05-12,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Easy - Botnek Remix,55ItaO4tQOngOwqB49xlj6,"Mat Zo, Porter Robinson, Botnek","2n7USVO8fO8FF8zq4kG2N1, 3dz0NnIZhtKKeXZxLOxCam, 56coS2IZSVdhIlHyzR75mK",Easy,1cB7imBtDzZFMRTSFPrl7f,2013-05-12,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Easy - Andy C Remix,26NhA6B7hGBhxYlo1eEIKD,"Mat Zo, Porter Robinson, Andy C","2n7USVO8fO8FF8zq4kG2N1, 3dz0NnIZhtKKeXZxLOxCam, 75HK7rgkmDMTnWwwmcN53N",Easy,1cB7imBtDzZFMRTSFPrl7f,2013-05-12,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Everything,1ZxXLNIcM86pJF1aJL9grX,"Maya Jane Coles, Karin Park","6TshTCYwh9ySzOO6Jy4Ux2, 5uBdYy8QRabKEL1MtDPXfr",Everything,6FUOi7KePHZhEpEZB5LIkv,2013-05-12,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Leprechauns & Unicorns - Original Mix,4qLMPRctzVA7u2Ool0znJJ,Dyro,03MVmfitJTVJIxYmObhQn9,Leprechauns & Unicorns,1zyhQ9CGCLeSTnRh7aMw3X,2013-05-13,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Finder - Radio Edit,3LScFb7yoq840uV9kLumXs,Ninetoes,5MP4PiGA5PNFrsVjtauFnC,Finder,1ubRC7bEVKoI7sD5mqXrFs,2013-05-13,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Lose Yourself to Dance (feat. Pharrell Williams),5CMjjywI0eZMixPeqNd75R,"Daft Punk, Pharrell Williams","4tZwfgrHOc3mvqYlEYSvVi, 2RdwBSPQiwcmiDo9kixcl8",Random Access Memories,4m2880jivSbbyEGAKfITCa,2013-05-17,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Alive - Hardwell Remix,4129VnB82LrGkZBDsrijKd,"Krewella, Hardwell","0Cd6nHYwecCNM1sVEXKlYr, 6BrvowZBreEkXzJQMpL174",Alive (Hardwell Remix),014AAoYyrs6hIUq1oHuTIV,2013-05-21,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,The Show,08iBaWeDo44Qf30CjXAeAF,Mike Mago,5lwT6gFdwV3Wcol07KUiJx,The Show (The Remixes),1o5dMufBNpVhble9wki81a,2013-05-27,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,You and Me (In the Style of Disclosure & Eliza Doolittle) [Karaoke Version],65pFDPN2w2JpO17Fk1n3VB,Metro karaoke,7lyFnmwdljC7LAYoevitPZ,"Karaoke Songlist: 2013, Vol .18",1xRW8ivJliqzWdZRyWs6hg,2013-05-28,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Antenna (Originally Performed by Fuse ODG and Wyclef Jean) - Karaoke Version,2JYdv16LgRRUJWmXlxJ8QS,Quantum Tunes,4KmGFqK8Oh67PFW7MAf7x0,Antenna (Originally Performed by Fuse ODG and Wyclef Jean) [Karaoke Version],469sfsrOQC5zpgKYGziHs0,2013-05-28,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,What Love Is Made Of (Originally Performed by Katy B) - Karaoke Version,4DAsHey7B2OkzHpDV7HOu6,Maximum Melody,5DF4ClSRFker9yhV2I8Zs1,What Love Is Made Of (Originally Performed by Katy B) [Karaoke Version],0bBW0gAioNGVqRjFjchOCl,2013-05-29,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Stimulation,3JA3K2tYSaIWyjN14LnPhF,Disclosure,6nS5roXSAGhTGr34W6n7Et,Settle (Special Edition),7bdjtx1RTkWoSoOaIl7a8E,2013-06-03,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,F For You,5ytp4U6YLqNppQdhmmVvHu,Disclosure,6nS5roXSAGhTGr34W6n7Et,Settle (Special Edition),7bdjtx1RTkWoSoOaIl7a8E,2013-06-03,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Help Me Lose My Mind,3whmx5Ptrqzx2c101FJFi3,"Disclosure, London Grammar","6nS5roXSAGhTGr34W6n7Et, 3Bd1cgCjtCI32PYvDC3ynO",Settle (Deluxe Version),0v5BqH7RQlIuJIWfQCl1Bp,2013-06-03,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Infinity,2zVVoSwUhZuOV0biyFJK8R,Infinity Ink,4aulLg9UvpHY9dIRqr30Qh,Infinity,2GdG1sG4SRm0YxB0XhcdI8,2013-06-07,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,My Way - Dusky Remix,7250edweDXKwmDFmMkLyXA,"Will Saul, Joe Dukie, Dusky","3qtVupTIjHwH8BLBZXog53, 733IspQVAyBdcimmmetTFq, 5gqoUf9vKKv96b1c0GBKwu",My Way feat. Joe Dukie,03BMgeY9Vw7sWH5CIWV7Cx,2013-06-10,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Higher - Tommy Trash Remix,5nOROW2dhcwbvoX2etF3LP,"Destructo, Tommy Trash","0BEYTctVmnYa5yStp4Jpab, 1tBU8jUEdVR3mqSsAqEGfD",Higher,17JB3MGJIsojJGftYBmtbN,2013-06-10,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Crush,5kiZMoOaaVYpocOvnlSX0f,Ashley Wallbridge,4hNpdlfPY7R51u4FEkBxJG,Crush,2nx3cBXd0yHyk1OBG5HX1e,2013-06-10,2021-05-16,2021-05-16
7L9bFJhsV08162AZEYr1BH,Todays Dance Anthems W/ Charlie Hedges,Bbc Radio 1,Higher,4m6UOrJ7bFcO7CvlSmaPTb,Destructo,0BEYTctVmnYa5yStp4Jpab,Higher,17JB3MGJIsojJGftYBmtbN,2013-06-10,2021-05-16,2021-05-16
